# Agent Annotate v0.1.0 (Full) | commit: c8ba274 | 2026-03-16T19:01:08.444556
NCT ID,Study Title,Study Status,Phase,Conditions,Interventions,Classification,Delivery Mode,Outcome,Reason for Failure,Peptide,classification_confidence,classification_consensus,classification_final_value,classification_verifier_opinions,classification_reconciler_used,classification_manual_review,delivery_mode_confidence,delivery_mode_consensus,delivery_mode_final_value,delivery_mode_verifier_opinions,delivery_mode_reconciler_used,delivery_mode_manual_review,outcome_confidence,outcome_consensus,outcome_final_value,outcome_verifier_opinions,outcome_reconciler_used,outcome_manual_review,reason_for_failure_confidence,reason_for_failure_consensus,reason_for_failure_final_value,reason_for_failure_verifier_opinions,reason_for_failure_reconciler_used,reason_for_failure_manual_review,peptide_confidence,peptide_consensus,peptide_final_value,peptide_verifier_opinions,peptide_reconciler_used,peptide_manual_review,flagged_for_review,flag_reason,version,git_commit,config_hash,annotated_at
NCT00000391,"A Phase I Trial of Intranasal Peptide T: Safety, Toxicity, and Pharmacokinetics in Human Immunodeficiency Virus-1 (HIV-1) Infected Patients.",COMPLETED,PHASE1,HIV Infections,DRUG: Peptide T,AMP(infection),Intranasal,Failed - completed trial,Ineffective for purpose,True,0.7699999999999999,True,AMP(infection),verifier_1: AMP(other); verifier_2: AMP(infection); verifier_3: AMP(infection),True,False,0.7699999999999999,True,Intranasal,verifier_1: Intranasal; verifier_2: Intranasal; verifier_3: Intranasal,False,False,0.7699999999999999,True,Failed - completed trial,verifier_1: Failed - completed trial; verifier_2: Failed - completed trial; verifier_3: Failed - completed trial,False,False,0.725,True,Ineffective for purpose,verifier_1: ; verifier_2: Ineffective for purpose; verifier_3: Ineffective for purpose,True,False,0.7699999999999999,True,True,verifier_1: True; verifier_2: True; verifier_3: True,False,False,False,,0.1.0,c8ba274,a918550b9b9d,2026-03-16T19:01:08.446562
NCT00000392,Phase II Study of the Efficacy of Peptide T in HIV-Positive Individuals With Cognitive Impairment.,COMPLETED,PHASE2,"HIV Infections, Cognition Disorders","DRUG: Peptide T, DRUG: Placebo",AMP(other),Intranasal,Failed - completed trial,,True,0.8150000000000001,True,AMP(other),verifier_1: AMP(other); verifier_2: AMP(infection); verifier_3: AMP(other),True,False,0.8150000000000001,True,Intranasal,verifier_1: Intranasal; verifier_2: Intranasal; verifier_3: Intranasal,False,False,0.8150000000000001,True,Failed - completed trial,verifier_1: Failed - completed trial; verifier_2: Positive; verifier_3: Failed - completed trial,True,False,0.65,False,,verifier_1: COMPLETED; verifier_2: Ineffective for purpose; verifier_3: Unknown (as the trial has been completed),True,True,0.8150000000000001,True,True,verifier_1: True; verifier_2: True; verifier_3: True,False,False,True,reason_for_failure: model disagreement,0.1.0,c8ba274,a918550b9b9d,2026-03-16T19:01:08.446856
NCT00000393,A Phase I Trial of Peptide T: Efficacy for the Neuropsychiatric Complications of Acquired Immunodeficiency Syndrome (AIDS).,COMPLETED,PHASE1,"HIV Infections, Cognition Disorders",DRUG: Peptide T,AMP(other),Intranasal,Failed - completed trial,Ineffective for purpose,True,0.7699999999999999,True,AMP(other),verifier_1: AMP(other); verifier_2: AMP(infection); verifier_3: AMP(other),True,False,0.7699999999999999,True,Intranasal,verifier_1: Intranasal; verifier_2: Intranasal; verifier_3: Intranasal,False,False,0.7699999999999999,True,Failed - completed trial,verifier_1: Failed - completed trial; verifier_2: Failed - completed trial; verifier_3: Failed - completed trial,False,False,0.725,True,Ineffective for purpose,verifier_1: COMPLETED; verifier_2: Ineffective for purpose; verifier_3: Unknown (as the trial is marked as completed),True,False,0.7699999999999999,True,True,verifier_1: True; verifier_2: True; verifier_3: True,False,False,False,,0.1.0,c8ba274,a918550b9b9d,2026-03-16T19:01:08.446917
NCT00000435,A Clinical Trial of Shared Epitope Peptides in Rheumatoid Arthritis (RA),COMPLETED,PHASE2,Rheumatoid Arthritis,"DRUG: dnaJ peptide, DRUG: None-placebo",Other,Oral - Tablet,Positive,Ineffective for purpose,True,0.8400000000000001,True,Other,verifier_1: AMP(other); verifier_2: AMP(other); verifier_3: AMP(other),True,False,0.8400000000000001,True,Oral - Tablet,verifier_1: Oral - Tablet; verifier_2: Oral - Tablet; verifier_3: Oral - Tablet,False,False,0.8400000000000001,False,,verifier_1: Failed - completed trial; verifier_2: Failed - completed trial; verifier_3: Failed - completed trial,True,True,0.5925,True,Ineffective for purpose,verifier_1: ; verifier_2: Ineffective for purpose; verifier_3: Ineffective for purpose,True,False,0.7875,True,True,verifier_1: True; verifier_2: True; verifier_3: True,False,False,True,outcome: model disagreement,0.1.0,c8ba274,a918550b9b9d,2026-03-16T19:01:08.446970
NCT00000775,A Phase I Safety and Immunogenicity Trial of UBI SynVac (HIV-1 MN Octameric V3 Peptide Vaccine),COMPLETED,PHASE1,HIV Infections,BIOLOGICAL: rgp120/HIV-1MN Monovalent Octameric V3 Peptide Vaccine,Other,Oral - Tablet,Failed - completed trial,Unknown (as the trial is marked as completed),True,0.7949999999999999,True,Other,verifier_1: Other; verifier_2: AMP(infection); verifier_3: AMP(other),True,False,0.7949999999999999,False,,verifier_1: Injection/Infusion - Other/Unspecified; verifier_2: Injection/Infusion - Intramuscular; verifier_3: Injection/Infusion - Other/Unspecified,True,True,0.7949999999999999,True,Failed - completed trial,verifier_1: Failed - completed trial; verifier_2: Failed - completed trial; verifier_3: Failed - completed trial,False,False,0.7699999999999999,True,Unknown (as the trial is marked as completed),verifier_1: ; verifier_2: Ineffective for purpose; verifier_3: Unknown (as the trial is marked as completed),True,False,0.7949999999999999,True,True,verifier_1: True; verifier_2: True; verifier_3: True,False,False,True,delivery_mode: model disagreement,0.1.0,c8ba274,a918550b9b9d,2026-03-16T19:01:08.447025
NCT00000795,A Phase I Safety and Immunogenicity Trial of UBI Multivalent HIV-1 Peptide Immunogen in HIV-1 Seronegative Human Subjects,COMPLETED,PHASE1,HIV Infections,"BIOLOGICAL: HIV-1 Peptide Immunogen, Multivalent",AMP(infection),Injection/Infusion - Other/Unspecified,Failed - completed trial,Ineffective for purpose,True,0.7699999999999999,True,AMP(infection),verifier_1: AMP(other); verifier_2: AMP(infection); verifier_3: AMP(other),True,False,0.7699999999999999,True,Injection/Infusion - Other/Unspecified,verifier_1: Injection/Infusion - Other/Unspecified; verifier_2: Injection/Infusion - Intramuscular; verifier_3: Injection/Infusion - Other/Unspecified,True,False,0.7699999999999999,True,Failed - completed trial,verifier_1: Failed - completed trial; verifier_2: Failed - completed trial; verifier_3: Failed - completed trial,False,False,0.7,True,Ineffective for purpose,verifier_1: COMPLETED; verifier_2: Ineffective for purpose; verifier_3: Ineffective for purpose,True,False,0.7699999999999999,True,True,verifier_1: True; verifier_2: True; verifier_3: True,False,False,False,,0.1.0,c8ba274,a918550b9b9d,2026-03-16T19:01:08.447072
NCT00000798,A Phase I Safety and Immunogenicity Trial of UBI Microparticulate Monovalent HIV-1 MN Peptide Immunogen in HIV-1 Seronegative Human Subjects,COMPLETED,PHASE1,HIV Infections,"BIOLOGICAL: HIV-1 Peptide Vaccine, Microparticulate Monovalent",Other,Oral - Unspecified,Failed - completed trial,Ineffective for purpose,True,0.7474999999999999,True,Other,verifier_1: AMP(other); verifier_2: AMP(infection); verifier_3: AMP(other),True,False,0.7474999999999999,True,Oral - Unspecified,verifier_1: Oral - Unspecified; verifier_2: Oral - Tablet; verifier_3: IV,True,False,0.7474999999999999,True,Failed - completed trial,verifier_1: Failed - completed trial; verifier_2: Failed - completed trial; verifier_3: Failed - completed trial,False,False,0.5425,True,Ineffective for purpose,verifier_1: COMPLETED; verifier_2: Ineffective for purpose; verifier_3: Ineffective for purpose,True,False,0.7474999999999999,True,True,verifier_1: True; verifier_2: True; verifier_3: True,False,False,False,,0.1.0,c8ba274,a918550b9b9d,2026-03-16T19:01:08.447119
NCT00000846,"A Phase I Trial To Evaluate the Safety and Immunogenicity of the UBI HIV-1MN PND Peptide Immunogen, Given by IM Injection, in Combination With the UBI Microparticulate Monovalent HIV-1 MN Branched Peptide Given Orally, in HIV-1 Uninfected Volunteers.",COMPLETED,PHASE1,HIV Infections,"BIOLOGICAL: HIV-1 Peptide Vaccine, Microparticulate Monovalent, BIOLOGICAL: HIV-1 Peptide Immunogen, Multivalent",AMP(infection),Injection/Infusion - Intramuscular,Failed - completed trial,Ineffective for purpose,True,0.8,True,AMP(infection),verifier_1: AMP(other); verifier_2: AMP(infection); verifier_3: AMP(other),True,False,0.8,True,Injection/Infusion - Intramuscular,verifier_1: Injection/Infusion - Intramuscular; verifier_2: Injection/Infusion - Intramuscular; verifier_3: Injection/Infusion - Intramuscular,False,False,0.8,True,Failed - completed trial,verifier_1: Failed - completed trial; verifier_2: Failed - completed trial; verifier_3: Failed - completed trial,False,False,0.5700000000000001,False,,verifier_1: COMPLETED; verifier_2: Ineffective for purpose; verifier_3: Unknown (as the trial is marked as completed),True,True,0.8,True,True,verifier_1: True; verifier_2: True; verifier_3: True,False,False,True,reason_for_failure: model disagreement,0.1.0,c8ba274,a918550b9b9d,2026-03-16T19:01:08.447172
NCT00000886,A Phase I Safety and Immunogenicity Trial of HIV-1 gp120 C4-V3 Hybrid Polyvalent Peptide Immunogen Mixed in Mineral Oil Containing Mannose Mono-Oleate (IFA),COMPLETED,PHASE1,HIV Infections,BIOLOGICAL: HIV-1 C4-V3 Polyvalent Peptide Vaccine,AMP(other),Injection/Infusion - Other/Unspecified,Failed - completed trial,Toxic/Unsafe,True,0.7949999999999999,True,AMP(other),verifier_1: AMP(other); verifier_2: AMP(infection); verifier_3: AMP(other),True,False,0.7949999999999999,True,Injection/Infusion - Other/Unspecified,verifier_1: Injection/Infusion - Other/Unspecified; verifier_2: Injection/Infusion - Intramuscular; verifier_3: Injection/Infusion - Other/Unspecified,True,False,0.7949999999999999,True,Failed - completed trial,verifier_1: Failed - completed trial; verifier_2: Positive; verifier_3: Failed - completed trial,True,False,0.5650000000000001,True,Toxic/Unsafe,verifier_1: Toxic/Unsafe; verifier_2: Toxic/Unsafe; verifier_3: Toxic/Unsafe,False,False,0.7949999999999999,True,True,verifier_1: True; verifier_2: True; verifier_3: True,False,False,False,,0.1.0,c8ba274,a918550b9b9d,2026-03-16T19:01:08.447221
NCT00001060,A Phase I Trial of HIV-1 C4-V3 Polyvalent Peptide Vaccine in HIV-1 Infected Persons,COMPLETED,PHASE1,HIV Infections,BIOLOGICAL: HIV-1 C4-V3 Polyvalent Peptide Vaccine,AMP(other),Injection/Infusion - Other/Unspecified,Failed - completed trial,Ineffective for purpose,True,0.755,True,AMP(other),verifier_1: Other; verifier_2: AMP(infection); verifier_3: AMP(other),True,False,0.755,True,Injection/Infusion - Other/Unspecified,verifier_1: Injection/Infusion - Other/Unspecified; verifier_2: Injection/Infusion - Intramuscular; verifier_3: Injection/Infusion - Other/Unspecified,True,False,0.755,True,Failed - completed trial,verifier_1: Failed - completed trial; verifier_2: Failed - completed trial; verifier_3: Failed - completed trial,True,False,0.545,True,Ineffective for purpose,verifier_1: COMPLETED; verifier_2: Ineffective for purpose; verifier_3: Ineffective for purpose,True,False,0.755,True,True,verifier_1: True; verifier_2: True; verifier_3: True,False,False,False,,0.1.0,c8ba274,a918550b9b9d,2026-03-16T19:01:08.447272
